name,price
StatTrak™ XM1014 | XOXO (Minimal Wear),20.29
AWP | Exoskeleton (Factory New),6.5
StatTrak™ AWP | Elite Build (Well-Worn),17.96
Five-SeveN | Fairy Tale (Well-Worn),3.29
eSports 2013 Case,44.78
Sticker | Gambit Gaming (Holo) | Cologne 2016,15.41
AWP | Sun in Leo (Well-Worn),10.62
★ Navaja Knife | Boreal Forest (Battle-Scarred),65.3
StatTrak™ AUG | Death by Puppy (Minimal Wear),13.02
Sticker | Spirit (Gold) | 2020 RMR,5.7
★ StatTrak™ Falchion Knife | Scorched (Field-Tested),95.14
StatTrak™ AWP | Atheris (Field-Tested),7.21
M4A1-S | Leaded Glass (Minimal Wear),4.17
M249 | Gator Mesh (Factory New),0.14
Desert Eagle | Oxide Blaze (Minimal Wear),0.28
USP-S | Flashback (Minimal Wear),0.78
M4A4 | Dark Blossom (Minimal Wear),6.73
Dual Berettas | Heist (Field-Tested),0.21
Tec-9 | Phoenix Chalk (Field-Tested),0.22
AWP | Containment Breach (Battle-Scarred),34.39
SSG 08 | Red Stone (Minimal Wear),1.35
MP7 | Olive Plaid (Field-Tested),1.14
FAMAS | Spitfire (Field-Tested),7.24
★ Ursus Knife | Rust Coat (Battle-Scarred),106.83
AWP | Wildfire (Battle-Scarred),31.29
M4A4 | Neo-Noir (Well-Worn),9.46
AK-47 | Frontside Misty (Field-Tested),14.61
AK-47 | Slate (Factory New),21.77
StatTrak™ Glock-18 | Vogue (Minimal Wear),20.15
Galil AR | Chromatic Aberration (Minimal Wear),8.13
XM1014 | XOXO (Factory New),13.21
M4A1-S | Nightmare (Battle-Scarred),3.18
Desert Eagle | Trigger Discipline (Factory New),10.67
P250 | Dark Filigree (Minimal Wear),3.55
"Music Kit | Neck Deep, The Lowlife Pack",3.93
StatTrak™ Glock-18 | Grinder (Factory New),6.82
StatTrak™ AK-47 | Asiimov (Well-Worn),62.89
SSG 08 | Parallax (Well-Worn),0.4
MP9 | Goo (Field-Tested),0.29
AK-47 | Asiimov (Field-Tested),29.93
Dual Berettas | Cobra Strike (Factory New),43.77
AWP | Sun in Leo (Field-Tested),8.38
StatTrak™ M4A1-S | Decimator (Minimal Wear),20.61
MAC-10 | Disco Tech (Field-Tested),3.65
FAMAS | Roll Cage (Field-Tested),3.84
MP9 | Food Chain (Field-Tested),5.87
M4A1-S | Cyrex (Field-Tested),7.43
MP7 | Bloodsport (Factory New),5.9
"Music Kit | AWOLNATION, I Am",5.79
AK-47 | Baroque Purple (Well-Worn),3.71
M4A4 | Griffin (Battle-Scarred),3.41
AK-47 | Redline (Field-Tested),17.09
Operation Breakout Weapon Case,2.74
StatTrak™ AWP | Fever Dream (Minimal Wear),20.73
StatTrak™ SCAR-20 | Green Marine (Minimal Wear),0.7
MAG-7 | Firestarter (Minimal Wear),0.39
MP7 | Bloodsport (Field-Tested),2.58
Lt. Commander Ricksaw | NSWC SEAL,6.44
Tec-9 | Re-Entry (Field-Tested),0.29
StatTrak™ USP-S | Flashback (Field-Tested),2.3
Sticker | AdreN | Katowice 2019,0.18
★ Navaja Knife | Forest DDPAT (Battle-Scarred),69.47
Sticker | Titan (Foil) | Cologne 2015,86.05
AWP | Pink DDPAT (Field-Tested),21.45
